epoch,total_loss,reconstruction_loss,mean_energy,mean_order_parameter,mean_abs_order_parameter,mean_transverse_order_parameter,order_parameter_susceptibility
0,0.05288093909621239,0.05229593813419342,0.05850006267428398,-0.01676974818110466,0.05111103504896164,-0.01538498792797327,0.0
1,0.05022997781634331,0.04973068833351135,0.049928825348615646,-0.018997564911842346,0.0520201213657856,-0.016420496627688408,0.002227816730737686
2,0.047347985208034515,0.04693090543150902,0.04170805588364601,-0.02334347553551197,0.05281504988670349,-0.014382659457623959,0.004345910623669624
3,0.04387451335787773,0.04353420063853264,0.03403109684586525,-0.023834727704524994,0.05240355059504509,-0.014232420362532139,0.0004912521690130234
4,0.03986543044447899,0.03959311172366142,0.02723189815878868,-0.026317570358514786,0.05244981124997139,-0.013987700454890728,0.002482842653989792
5,0.035815514624118805,0.035599615424871445,0.02158975601196289,-0.02656450867652893,0.052797477692365646,-0.013283868320286274,0.0002469383180141449
6,0.03241007775068283,0.03224000334739685,0.017007622867822647,-0.028664318844676018,0.0523383654654026,-0.013376772403717041,0.002099810168147087
7,0.030156085267663002,0.030025998130440712,0.01300869882106781,-0.02865149825811386,0.05232466384768486,-0.012601394206285477,1.2820586562156677e-05
8,0.0284612737596035,0.028369206935167313,0.009206651709973812,-0.02906941808760166,0.051026444882154465,-0.013959757052361965,0.0004179198294878006
9,0.02639775164425373,0.02634344808757305,0.005430299323052168,-0.03063519112765789,0.05146205052733421,-0.013144259341061115,0.0015657730400562286
10,0.02399231493473053,0.02397596649825573,0.0016348264180123806,-0.031450893729925156,0.05125456303358078,-0.014017521403729916,0.0008157026022672653
11,0.021775148808956146,0.021796809509396553,-0.0021661482751369476,-0.031614355742931366,0.049939632415771484,-0.012208398431539536,0.00016346201300621033
12,0.020307568833231926,0.020366644486784935,-0.0059076412580907345,-0.031144356355071068,0.049918416887521744,-0.012998439371585846,0.00046999938786029816
13,0.019711963832378387,0.01980758085846901,-0.009561628103256226,-0.03168262541294098,0.05001344159245491,-0.013164849951863289,0.0005382690578699112
14,0.01945936121046543,0.019590560346841812,-0.013119851239025593,-0.03228985145688057,0.05035048723220825,-0.014605842530727386,0.0006072260439395905
15,0.019116347655653954,0.019282128661870956,-0.0165781881660223,-0.034241098910570145,0.05025702714920044,-0.012955408543348312,0.0019512474536895752
16,0.01867186650633812,0.018872108310461044,-0.02002420462667942,-0.03498450666666031,0.05226243659853935,-0.014096974395215511,0.0007434077560901642
17,0.01821044832468033,0.018445827066898346,-0.02353786677122116,-0.035121627151966095,0.05242738500237465,-0.013695579022169113,0.00013712048530578613
18,0.017887260764837265,0.018158959224820137,-0.02716977335512638,-0.03596818819642067,0.052126090973615646,-0.015706736594438553,0.0008465610444545746
19,0.017421694472432137,0.017730996012687683,-0.03093007206916809,-0.03724135830998421,0.05411441624164581,-0.01542721502482891,0.0012731701135635376
20,0.016689695417881012,0.017037345096468925,-0.03476497903466225,-0.037276946008205414,0.05390787124633789,-0.015504052862524986,3.5587698221206665e-05
21,0.01587870344519615,0.016264619305729866,-0.03859156370162964,-0.03640422224998474,0.0528118871152401,-0.015537606552243233,0.0008727237582206726
22,0.015058907680213451,0.015482353046536446,-0.04234457388520241,-0.03738395869731903,0.05439840629696846,-0.016045421361923218,0.0009797364473342896
23,0.01445714570581913,0.014916514977812767,-0.045936934649944305,-0.03707357868552208,0.05481209605932236,-0.01673581823706627,0.0003103800117969513
24,0.013954748399555683,0.014448058791458607,-0.049331050366163254,-0.03726310282945633,0.05458272248506546,-0.017009733244776726,0.00018952414393424988
25,0.013518002815544605,0.014043175615370274,-0.05251726880669594,-0.03830968961119652,0.05560007691383362,-0.01785319484770298,0.0010465867817401886
26,0.013061161153018475,0.013616693206131458,-0.05555324628949165,-0.039608217775821686,0.05584867671132088,-0.017738740891218185,0.0012985281646251678
27,0.012633888982236385,0.013218720443546772,-0.05848317593336105,-0.039338141679763794,0.05693790316581726,-0.0165150947868824,0.00027007609605789185
28,0.01223874930292368,0.012852405197918415,-0.06136563792824745,-0.04222436994314194,0.05760526657104492,-0.01730521395802498,0.0028862282633781433
29,0.011906475760042667,0.012548839673399925,-0.0642363578081131,-0.04178497567772865,0.05862993746995926,-0.01616527885198593,0.0004393942654132843
30,0.01151387207210064,0.012185388244688511,-0.06715158373117447,-0.04228445142507553,0.058869458734989166,-0.017632996663451195,0.000499475747346878
31,0.011124249547719955,0.011825748719274998,-0.07014993578195572,-0.04382464289665222,0.06067276373505592,-0.017990222200751305,0.0015401914715766907
32,0.010659048333764076,0.011391822248697281,-0.07327740639448166,-0.04254245385527611,0.06013336032629013,-0.01666259951889515,0.001282189041376114
33,0.010190790519118309,0.010956495068967342,-0.07657045871019363,-0.04282582923769951,0.059463974088430405,-0.017360087484121323,0.0002833753824234009
34,0.00978884194046259,0.010589455254375935,-0.08006136864423752,-0.04297303035855293,0.05998530238866806,-0.01678398810327053,0.00014720112085342407
35,0.00935985054820776,0.010197660885751247,-0.08378106355667114,-0.04350285232067108,0.05998971685767174,-0.018154051154851913,0.0005298219621181488
36,0.008839230053126812,0.009716351516544819,-0.0877121090888977,-0.0416005440056324,0.05953996628522873,-0.016428863629698753,0.001902308315038681
37,0.008357238955795765,0.009275357238948345,-0.09181182086467743,-0.04119617119431496,0.06005479767918587,-0.017140911892056465,0.00040437281131744385
38,0.007943859323859215,0.008904824033379555,-0.0960964486002922,-0.03970729187130928,0.0590413436293602,-0.019223716109991074,0.0014888793230056763
39,0.0075455037876963615,0.008550400845706463,-0.10048970580101013,-0.04038660600781441,0.06067861244082451,-0.016830038279294968,0.000679314136505127
40,0.007145000156015158,0.008195172064006329,-0.10501720756292343,-0.03897367790341377,0.05971946567296982,-0.01700729690492153,0.0014129281044006348
41,0.006807189434766769,0.007904027588665485,-0.1096838116645813,-0.04017755389213562,0.05953092500567436,-0.017071042209863663,0.0012038759887218475
42,0.006477241404354572,0.0076216659508645535,-0.11444244533777237,-0.03921675309538841,0.060053031891584396,-0.016629932448267937,0.0009608007967472076
43,0.006092792376875877,0.007286069914698601,-0.11932773143053055,-0.039218321442604065,0.05910139158368111,-0.017525987699627876,1.5683472156524658e-06
44,0.005863352678716183,0.007105914875864983,-0.1242562085390091,-0.039649222046136856,0.06027473136782646,-0.016120141372084618,0.00043090060353279114
45,0.005575774237513542,0.006867861375212669,-0.12920871376991272,-0.03957926109433174,0.05987035110592842,-0.01637687161564827,6.996095180511475e-05
46,0.005328731145709753,0.006671061273664236,-0.1342329978942871,-0.04065689444541931,0.05973758548498154,-0.017162151634693146,0.0010776333510875702
47,0.005110480356961489,0.006504308432340622,-0.13938283920288086,-0.04116019979119301,0.061052773147821426,-0.015316815115511417,0.0005033053457736969
48,0.004818569403141737,0.006266359705477953,-0.1447790265083313,-0.04123008996248245,0.060821402817964554,-0.014503800310194492,6.989017128944397e-05
49,0.004597644321620464,0.0061018988490104675,-0.1504254788160324,-0.03999156132340431,0.06014622375369072,-0.016007818281650543,0.0012385286390781403
50,0.004334225784987211,0.005897941533476114,-0.1563715785741806,-0.04030723497271538,0.060857370495796204,-0.0143173448741436,0.0003156736493110657
51,0.0041251350194215775,0.005751742981374264,-0.16266079246997833,-0.04118545725941658,0.060297489166259766,-0.013337809592485428,0.0008782222867012024
52,0.0038564978167414665,0.0055493321269750595,-0.1692834049463272,-0.04094298556447029,0.06171896681189537,-0.013225865550339222,0.00024247169494628906
53,0.0036381762474775314,0.005400304216891527,-0.17621281743049622,-0.040732767432928085,0.06158062815666199,-0.013332916423678398,0.0002102181315422058
54,0.0034182057715952396,0.0052521247416734695,-0.18339189887046814,-0.039743807166814804,0.06238908693194389,-0.013666494749486446,0.0009889602661132812
55,0.0031963540241122246,0.00510436249896884,-0.19080086052417755,-0.0401596873998642,0.06174851953983307,-0.012424925342202187,0.0004158802330493927
