model,n_seeds,mean_mse,std_mse,mean_psnr,std_psnr,mean_r2,std_r2
HVK2D-cifar-nonlocal-entangling,5,4.585350690824329e-16,3.460490851406323e-16,120.0,0.0,0.9999999999999997,2.1642230995786356e-16
quadratic-pair-classical,5,0.22898282015018298,0.08105707116506683,6.681293108957249,1.5654150551430186,0.7930634882139339,0.1484797142311618
degree2-polynomial-kernel,5,0.3894072182235656,0.0949676074740908,4.22901017146142,1.0871874233262264,0.6775258014604277,0.13459979571044411
strict-classical-rff,5,0.9764359492812842,0.3109944285400483,0.2916400257048482,1.2289701966821924,0.2318146449436706,0.20250478386563217
raw-linear,5,1.2482613798642845,0.43451671693663824,-0.7176669982311674,1.4303212728219004,0.018022812753550155,0.2982351028162943
no-entanglement-single-site,5,1.3130491302803677,0.43505972651467595,-0.967248429659957,1.3319387213001859,-0.0450836511233476,0.344287050808153
random-vqc,5,1.4966811864244056,0.49614245791653294,-1.458970283503342,1.6910239177320885,-0.11574825976722299,0.04369256019670565
right-patch-only,5,1.499174458239954,0.538027655268934,-1.4690243309862907,1.5977276231727424,-0.14689144604641435,0.2549011020125415
left-patch-only,5,1.4999358787720882,0.4525604247220971,-1.568272391791249,1.2800991288882573,-0.19844891326246358,0.37535907293878895
