epoch,total_loss,reconstruction_loss,mean_energy,mean_order_parameter,mean_abs_order_parameter,mean_transverse_order_parameter,order_parameter_susceptibility
0,0.053789202123880386,0.0536842979490757,0.010490402579307556,0.03543409705162048,0.0460808165371418,0.004943359177559614,0.0
1,0.05180445313453674,0.051752250641584396,0.005220349878072739,0.03677918389439583,0.04635237157344818,0.00749229546636343,0.0013450868427753448
2,0.049722325056791306,0.04972010850906372,0.00022172658646013588,0.037511877715587616,0.04716169089078903,0.010148233734071255,0.0007326938211917877
3,0.0471947118639946,0.04724009707570076,-0.004538539331406355,0.04010208696126938,0.04812579229474068,0.01436976995319128,0.0025902092456817627
4,0.04412797465920448,0.044218212366104126,-0.009023763239383698,0.040742427110672,0.04937312379479408,0.015603048726916313,0.0006403401494026184
5,0.04057132080197334,0.040703292936086655,-0.013197366148233414,0.04255296289920807,0.05059153214097023,0.01685599610209465,0.0018105357885360718
6,0.036670926958322525,0.03684190660715103,-0.01709810644388199,0.0435752235352993,0.050364743918180466,0.018991321325302124,0.0010222606360912323
7,0.032467614859342575,0.03267510607838631,-0.02074906788766384,0.04347270354628563,0.050887320190668106,0.019515110179781914,0.00010251998901367188
8,0.028302021324634552,0.028543122112751007,-0.024110009893774986,0.04551286995410919,0.05193712189793587,0.019299590960144997,0.0020401664078235626
9,0.0244454313069582,0.024718046188354492,-0.02726147323846817,0.04627678915858269,0.05239387974143028,0.020160138607025146,0.0007639192044734955
10,0.0217389315366745,0.02204153500497341,-0.030260354280471802,0.045774638652801514,0.052147042006254196,0.022485166788101196,0.0005021505057811737
11,0.020356761291623116,0.020688854157924652,-0.03320924937725067,0.04566967859864235,0.05211924389004707,0.02157086320221424,0.00010496005415916443
12,0.01982928067445755,0.02019023708999157,-0.036095600575208664,0.04555242508649826,0.052838511765003204,0.022516721859574318,0.00011725351214408875
13,0.019187742844223976,0.01957746595144272,-0.03897228464484215,0.045602113008499146,0.05251124128699303,0.023210495710372925,4.968792200088501e-05
14,0.01803668402135372,0.01845572702586651,-0.041904352605342865,0.04620395973324776,0.0517004057765007,0.024340946227312088,0.0006018467247486115
15,0.016472650691866875,0.016922350972890854,-0.044969990849494934,0.04517971724271774,0.051466476172208786,0.025319209322333336,0.001024242490530014
16,0.014822077937424183,0.015304564498364925,-0.048248693346977234,0.0439722053706646,0.05058848485350609,0.025586416944861412,0.0012075118720531464
17,0.013494636863470078,0.014012767001986504,-0.05181296914815903,0.042862605303525925,0.04910452663898468,0.026001546531915665,0.0011096000671386719
18,0.012519944459199905,0.013076606206595898,-0.055666208267211914,0.044156137853860855,0.04993719607591629,0.027288708835840225,0.0012935325503349304
19,0.011946456506848335,0.01254402007907629,-0.05975637957453728,0.042878057807683945,0.04788455739617348,0.02750534936785698,0.0012780800461769104
20,0.011628689244389534,0.012268487364053726,-0.06397979706525803,0.042532384395599365,0.04794063791632652,0.028905026614665985,0.00034567341208457947
21,0.011424091644585133,0.012105950154364109,-0.06818588078022003,0.04214637726545334,0.04819125682115555,0.029422786086797714,0.0003860071301460266
22,0.01108574029058218,0.011808078736066818,-0.07223384827375412,0.04266711696982384,0.048225704580545425,0.02896628901362419,0.0005207397043704987
23,0.010558106005191803,0.011318612843751907,-0.07605067640542984,0.041484009474515915,0.04802093654870987,0.02890855260193348,0.0011831074953079224
24,0.010081241838634014,0.01087765209376812,-0.07964106649160385,0.041267067193984985,0.047439612448215485,0.02872186340391636,0.00021694228053092957
25,0.009489170275628567,0.010319928638637066,-0.08307578414678574,0.04040581360459328,0.04740326851606369,0.028639404103159904,0.0008612535893917084
26,0.009024853818118572,0.009889603592455387,-0.08647499233484268,0.03988144174218178,0.04835394397377968,0.027660921216011047,0.000524371862411499
27,0.00869321171194315,0.00959276407957077,-0.08995523303747177,0.04122976213693619,0.04926524683833122,0.028433391824364662,0.0013483203947544098
28,0.008500257506966591,0.009437065571546555,-0.09368079155683517,0.041096292436122894,0.04779371991753578,0.027968360111117363,0.00013346970081329346
29,0.00827742274850607,0.009255015291273594,-0.09775929898023605,0.04015574976801872,0.04811675846576691,0.02842450700700283,0.0009405426681041718
30,0.00796825997531414,0.008990773931145668,-0.10225143283605576,0.04035551846027374,0.047229401767253876,0.029552683234214783,0.00019976869225502014
31,0.0076571316458284855,0.008728932589292526,-0.10718011111021042,0.03997505083680153,0.04741515591740608,0.02827606163918972,0.00038046762347221375
32,0.007275508716702461,0.008400666527450085,-0.11251576244831085,0.04094625636935234,0.04822428897023201,0.0298162829130888,0.0009712055325508118
33,0.006852773483842611,0.008034487254917622,-0.11817136406898499,0.04169757664203644,0.048682790249586105,0.03063988871872425,0.0007513202726840973
34,0.006568829528987408,0.0078094350174069405,-0.12406057119369507,0.041099198162555695,0.04805538058280945,0.029844747856259346,0.0005983784794807434
35,0.006301828660070896,0.007602345198392868,-0.1300516277551651,0.04270555451512337,0.04891346022486687,0.031176695600152016,0.0016063563525676727
36,0.00603500148281455,0.0073953308165073395,-0.13603293895721436,0.042680468410253525,0.04834368824958801,0.031378693878650665,2.508610486984253e-05
37,0.0057006035931408405,0.007120293099433184,-0.1419689655303955,0.042809538543224335,0.0485047921538353,0.03330877795815468,0.00012907013297080994
38,0.005359025672078133,0.006837836932390928,-0.14788112044334412,0.04221991077065468,0.04869844391942024,0.03222048282623291,0.0005896277725696564
39,0.005014717113226652,0.006552873644977808,-0.15381565690040588,0.04224960505962372,0.04710852727293968,0.03326483815908432,2.9694288969039917e-05
40,0.004724192898720503,0.00632261298596859,-0.15984201431274414,0.04258375242352486,0.047316182404756546,0.0327724814414978,0.0003341473639011383
41,0.004434439819306135,0.006094942335039377,-0.1660502701997757,0.04347129166126251,0.048372555524110794,0.034448642283678055,0.0008875392377376556
42,0.004210883751511574,0.00593609968200326,-0.17252157628536224,0.043619055300951004,0.04849175363779068,0.035135820508003235,0.00014776363968849182
43,0.003969351761043072,0.0057625616900622845,-0.17932099103927612,0.043560948222875595,0.04876738786697388,0.03494616597890854,5.8107078075408936e-05
44,0.003683812916278839,0.005548455286771059,-0.18646425008773804,0.04444700852036476,0.04873308911919594,0.03720698133111,0.0008860602974891663
45,0.0034493422135710716,0.005389182362705469,-0.1939840316772461,0.044203758239746094,0.049782704561948776,0.036758486181497574,0.0002432502806186676
46,0.0032093063928186893,0.005227639805525541,-0.2018333375453949,0.04498828202486038,0.04975464567542076,0.03698107972741127,0.0007845237851142883
