epoch,total_loss,reconstruction_loss,mean_energy,mean_order_parameter,mean_abs_order_parameter,mean_transverse_order_parameter,order_parameter_susceptibility
0,0.07667196542024612,0.07648521661758423,0.01867518573999405,0.018147610127925873,0.0387139692902565,0.011431061662733555,0.0
1,0.07124222069978714,0.07110334187746048,0.01388816349208355,0.019295714795589447,0.03938155621290207,0.010243707336485386,0.0011481046676635742
2,0.0651189461350441,0.06502325087785721,0.009569436311721802,0.022384272888302803,0.040686048567295074,0.011661561205983162,0.003088558092713356
3,0.057484403252601624,0.05742734298110008,0.005706004332751036,0.02656344324350357,0.0434846356511116,0.01197564136236906,0.0041791703552007675
4,0.04859795421361923,0.04857578128576279,0.0022171291057020426,0.027538925409317017,0.04386061057448387,0.01291495468467474,0.000975482165813446
5,0.03955051675438881,0.03956028074026108,-0.0009763913112692535,0.030748676508665085,0.04605201631784439,0.010490797460079193,0.0032097510993480682
6,0.032328490167856216,0.032367538660764694,-0.0039046837482601404,0.03216619789600372,0.04701651260256767,0.01125454530119896,0.0014175213873386383
7,0.02909759432077408,0.029163533821702003,-0.0065939538180828094,0.03316650912165642,0.048826299607753754,0.011299247853457928,0.0010003112256526947
8,0.02967955730855465,0.029769739136099815,-0.00901820883154869,0.03388048708438873,0.05019419640302658,0.011658758856356144,0.0007139779627323151
9,0.031123382970690727,0.03123364970088005,-0.011026591993868351,0.03619309514760971,0.05172203481197357,0.011572999879717827,0.002312608063220978
10,0.031139863654971123,0.031265340745449066,-0.012547630816698074,0.035359904170036316,0.05143432691693306,0.011955435387790203,0.0008331909775733948
11,0.029643351212143898,0.029780123382806778,-0.013677176088094711,0.03462468460202217,0.052468061447143555,0.011948545463383198,0.0007352195680141449
12,0.027018969878554344,0.027164028957486153,-0.014505846425890923,0.034157950431108475,0.052500560879707336,0.012890092097222805,0.0004667341709136963
13,0.024377366527915,0.024528490379452705,-0.0151123758405447,0.033389799296855927,0.05360197648406029,0.014459186233580112,0.0007681511342525482
