seed,one_pass_quantum,cm_classical,cm_quantum,gaussian
3,20.28068157644554,20.231465206874567,20.251694352431574,21.911124212825936
7,19.122643270336155,18.95474426817939,18.94411475897471,20.7804167470183
11,19.528536343329904,19.338384431931747,19.346896358848667,23.357815009439005
19,20.115220322493922,19.90332153840025,19.88862634938408,22.407126279933806
29,19.410330892601362,19.313238902275355,19.333104612892747,21.83057432217764
41,19.72675909676201,19.57222090937593,19.577419541264515,21.746720410509944
