seed,family,label,temperature,J,Gamma,mse,mae,psnr_db
3,baseline,mean_fill,,,,0.03553260268684251,0.15806665052852417,14.493729802073904
3,baseline,nearest,,,,0.01324697053839691,0.07347494553376906,18.778834295677573
3,baseline,gaussian,,,,0.006440025377169368,0.059331314972843836,21.911124212825936
3,classical_ising,"classical_ising: J=0.25, Gamma=0",0.25,0.25,0.0,0.08883683076574857,0.2529564263234975,10.514069432066119
3,classical_ising,"classical_ising: J=0.25, Gamma=0",0.5,0.25,0.0,0.03179312192057294,0.1418952461201812,14.976668245134217
3,classical_ising,"classical_ising: J=0.25, Gamma=0",0.75,0.25,0.0,0.021946005669866486,0.12308542734460984,16.58644512934007
3,classical_ising,"classical_ising: J=0.25, Gamma=0",1.0,0.25,0.0,0.027391746172310542,0.13616463885914884,15.623802814069872
3,classical_ising,"classical_ising: J=0.25, Gamma=0",1.5,0.25,0.0,0.04172339631456087,0.17085624197635793,13.796203469224505
3,classical_ising,"classical_ising: J=0.25, Gamma=0",2.0,0.25,0.0,0.05157788348622859,0.19066517721650975,12.875364832355213
3,quantum,"quantum: J=0.25, Gamma=0.2",0.25,0.25,0.2,0.071842853114992,0.2193510864132761,11.436164287420226
3,quantum,"quantum: J=0.25, Gamma=0.2",0.5,0.25,0.2,0.028879255640453166,0.13674643670711328,15.394140048492769
3,quantum,"quantum: J=0.25, Gamma=0.2",0.75,0.25,0.2,0.022138678578777906,0.12364796142401427,16.54848305005256
3,quantum,"quantum: J=0.25, Gamma=0.2",1.0,0.25,0.2,0.027833080525734227,0.1372140496591563,15.554387239106916
3,quantum,"quantum: J=0.25, Gamma=0.2",1.5,0.25,0.2,0.041956740318017896,0.17135310647804686,13.771982601564734
3,quantum,"quantum: J=0.25, Gamma=0.2",2.0,0.25,0.2,0.05168466758847593,0.19087346219644047,12.866382725597383
3,quantum,"quantum: J=0.25, Gamma=0.35",0.25,0.25,0.35,0.04689720226046133,0.16974915680946803,13.288530651545445
3,quantum,"quantum: J=0.25, Gamma=0.35",0.5,0.25,0.35,0.024925676227971302,0.12973282689319202,16.033530505451875
3,quantum,"quantum: J=0.25, Gamma=0.35",0.75,0.25,0.35,0.022720614620104922,0.12499630430747949,16.435799246111216
3,quantum,"quantum: J=0.25, Gamma=0.35",1.0,0.25,0.35,0.028743854539271238,0.13947174104307766,15.414549935821322
3,quantum,"quantum: J=0.25, Gamma=0.35",1.5,0.25,0.35,0.0424296336044921,0.17235387867808696,13.723307185099413
3,quantum,"quantum: J=0.25, Gamma=0.35",2.0,0.25,0.35,0.05190204483049676,0.19130054634246246,12.848155315329077
3,classical_ising,"classical_ising: J=0.45, Gamma=0",0.25,0.45,0.0,0.10688431555851537,0.28375789278062524,9.710860194511245
3,classical_ising,"classical_ising: J=0.45, Gamma=0",0.5,0.45,0.0,0.07163097552159572,0.2236585189540914,11.448991342698145
3,classical_ising,"classical_ising: J=0.45, Gamma=0",0.75,0.45,0.0,0.035075008264608534,0.14600149802454643,14.550022179682138
3,classical_ising,"classical_ising: J=0.45, Gamma=0",1.0,0.45,0.0,0.020854467331911146,0.11675924033728526,16.808008984945367
3,classical_ising,"classical_ising: J=0.45, Gamma=0",1.5,0.45,0.0,0.025211801547367536,0.13039878339406027,15.983961200464387
3,classical_ising,"classical_ising: J=0.45, Gamma=0",2.0,0.45,0.0,0.03703949087636972,0.16090902089066533,14.313349915123187
3,quantum,"quantum: J=0.45, Gamma=0.2",0.25,0.45,0.2,0.10048826627478566,0.2725356489076605,9.978846465978954
3,quantum,"quantum: J=0.45, Gamma=0.2",0.5,0.45,0.2,0.06668105692775526,0.2133131624476832,11.759975250069893
3,quantum,"quantum: J=0.45, Gamma=0.2",0.75,0.45,0.2,0.03329242924871322,0.14238591603421832,14.776545145213154
3,quantum,"quantum: J=0.45, Gamma=0.2",1.0,0.45,0.2,0.020591174306888487,0.1162358632052367,16.863188850255312
3,quantum,"quantum: J=0.45, Gamma=0.2",1.5,0.45,0.2,0.025431672952755432,0.1309687736821414,15.94625070014914
3,quantum,"quantum: J=0.45, Gamma=0.2",2.0,0.45,0.2,0.03719147409051439,0.1612592881443985,14.295566079629136
3,quantum,"quantum: J=0.45, Gamma=0.35",0.25,0.45,0.35,0.08762935026264544,0.24875225551631852,10.573504084185519
3,quantum,"quantum: J=0.45, Gamma=0.35",0.5,0.45,0.35,0.05745748606454909,0.19367496632195927,12.406533796002206
3,quantum,"quantum: J=0.45, Gamma=0.35",0.75,0.45,0.35,0.030107470160965467,0.13573465142993038,15.213257353969553
3,quantum,"quantum: J=0.45, Gamma=0.35",1.0,0.45,0.35,0.020174047331923857,0.11542774822119777,16.952069645740345
3,quantum,"quantum: J=0.45, Gamma=0.35",1.5,0.45,0.35,0.025886960489318926,0.13215213524916786,15.869189391444898
3,quantum,"quantum: J=0.45, Gamma=0.35",2.0,0.45,0.35,0.03750228957666818,0.1619762843672959,14.259422170680438
3,classical_ising,"classical_ising: J=0.7, Gamma=0",0.25,0.7,0.0,0.10878484239239304,0.2866751457164728,9.634316131298903
3,classical_ising,"classical_ising: J=0.7, Gamma=0",0.5,0.7,0.0,0.08999654227688228,0.258356297857138,10.45774176104199
3,classical_ising,"classical_ising: J=0.7, Gamma=0",0.75,0.7,0.0,0.06348569050602479,0.20909891431371938,11.973241524180844
3,classical_ising,"classical_ising: J=0.7, Gamma=0",1.0,0.7,0.0,0.03785367593250094,0.1516165717641595,14.218919402145216
3,classical_ising,"classical_ising: J=0.7, Gamma=0",1.5,0.7,0.0,0.0185323365131147,0.10888991868947998,17.320698224089902
3,classical_ising,"classical_ising: J=0.7, Gamma=0",2.0,0.7,0.0,0.02380062170672721,0.1264493987585148,16.234116983941387
3,quantum,"quantum: J=0.7, Gamma=0.2",0.25,0.7,0.2,0.10625409201484476,0.28227005671348165,9.736543355812154
3,quantum,"quantum: J=0.7, Gamma=0.2",0.5,0.7,0.2,0.08751710748219393,0.2536811846319254,10.579070445901815
3,quantum,"quantum: J=0.7, Gamma=0.2",0.75,0.7,0.2,0.061465084107398565,0.20455405764611612,12.113715197635273
3,quantum,"quantum: J=0.7, Gamma=0.2",1.0,0.7,0.2,0.0367787778516205,0.149018985446973,14.344027063408966
3,quantum,"quantum: J=0.7, Gamma=0.2",1.5,0.7,0.2,0.018504084379149036,0.10887977593568386,17.327323998377796
3,quantum,"quantum: J=0.7, Gamma=0.2",2.0,0.7,0.2,0.023929454520974346,0.1268061851377636,16.210672011454804
3,quantum,"quantum: J=0.7, Gamma=0.35",0.25,0.7,0.35,0.10099971840983493,0.27292850161996307,9.956798370413706
3,quantum,"quantum: J=0.7, Gamma=0.35",0.5,0.7,0.35,0.0824406664747226,0.24398965868441166,10.838585059136355
3,quantum,"quantum: J=0.7, Gamma=0.35",0.75,0.7,0.35,0.05745831282245578,0.1956571098332834,12.40647130565706
3,quantum,"quantum: J=0.7, Gamma=0.35",1.0,0.7,0.35,0.0346942258224788,0.14409709715790892,14.597427990449116
3,quantum,"quantum: J=0.7, Gamma=0.35",1.5,0.7,0.35,0.01846858186050412,0.10898632833563555,17.335664512735146
3,quantum,"quantum: J=0.7, Gamma=0.35",2.0,0.7,0.35,0.024196331034653993,0.12753349649833604,16.162504824577894
3,local_only,"local_only: J=0, Gamma=0",0.25,0.0,0.0,0.07157190254460535,0.22536310820624544,11.452574380935667
3,local_only,"local_only: J=0, Gamma=0",0.5,0.0,0.0,0.07157190254460535,0.22536310820624544,11.452574380935667
3,local_only,"local_only: J=0, Gamma=0",0.75,0.0,0.0,0.07157190254460535,0.22536310820624544,11.452574380935667
3,local_only,"local_only: J=0, Gamma=0",1.0,0.0,0.0,0.07157190254460535,0.22536310820624544,11.452574380935667
3,local_only,"local_only: J=0, Gamma=0",1.5,0.0,0.0,0.07157190254460535,0.22536310820624544,11.452574380935667
3,local_only,"local_only: J=0, Gamma=0",2.0,0.0,0.0,0.07157190254460535,0.22536310820624544,11.452574380935667
3,local_only,"local_only: J=0, Gamma=0.35",0.25,0.0,0.35,0.07157190254460531,0.22536310820624544,11.452574380935669
3,local_only,"local_only: J=0, Gamma=0.35",0.5,0.0,0.35,0.07157190254460533,0.2253631082062455,11.452574380935669
