family,label,temperature,J,Gamma,n,mean_psnr_db,std_psnr_db,min_psnr_db,max_psnr_db
quantum,"quantum: J=0.25, Gamma=0.35",0.5,0.25,0.35,6,16.13579038038448,0.308966667527565,15.662161466555508,16.433244193777632
quantum,"quantum: J=0.25, Gamma=0.35",0.75,0.25,0.35,6,16.093746215943085,0.28839906942398486,15.739283427361666,16.435799246111216
quantum,"quantum: J=0.25, Gamma=0.35",1.0,0.25,0.35,6,14.965167854590426,0.29474326071652746,14.632260810843574,15.414549935821322
quantum,"quantum: J=0.25, Gamma=0.35",1.5,0.25,0.35,6,13.29602031547538,0.26791281326003175,13.044261807521044,13.723307185099413
quantum,"quantum: J=0.25, Gamma=0.35",2.0,0.25,0.35,6,12.458760853373361,0.25290555443419316,12.23458207985695,12.848155315329077
classical_ising,"classical_ising: J=0.45, Gamma=0",0.25,0.45,0.0,6,10.254735406564043,0.5322788398198689,9.710860194511245,11.073983826187035
classical_ising,"classical_ising: J=0.45, Gamma=0",0.5,0.45,0.0,6,11.935484889554795,0.5428056733913813,11.448991342698145,12.831442184045635
classical_ising,"classical_ising: J=0.45, Gamma=0",0.75,0.45,0.0,6,14.899064985044264,0.44023724466371195,14.418937766813489,15.56405801158668
classical_ising,"classical_ising: J=0.45, Gamma=0",1.0,0.45,0.0,6,16.767018676794994,0.28240183532409424,16.341941350474215,17.190142308863557
classical_ising,"classical_ising: J=0.45, Gamma=0",1.5,0.45,0.0,6,15.517976255300546,0.32613479369210846,15.098110607179539,15.983961200464387
classical_ising,"classical_ising: J=0.45, Gamma=0",2.0,0.45,0.0,6,13.856937015124243,0.2881750547853565,13.535310374427894,14.313349915123187
quantum,"quantum: J=0.45, Gamma=0.2",0.25,0.45,0.2,6,10.534547152030163,0.544546848889482,9.978846465978954,11.370687528535674
quantum,"quantum: J=0.45, Gamma=0.2",0.5,0.45,0.2,6,12.249146170045021,0.544674435987104,11.759975250069893,13.153179544244084
quantum,"quantum: J=0.45, Gamma=0.2",0.75,0.45,0.2,6,15.107840072171763,0.4290557561618249,14.623599821860127,15.740370978374973
quantum,"quantum: J=0.45, Gamma=0.2",1.0,0.45,0.2,6,16.799125844017535,0.2813667280898261,16.380020917719595,17.223579655050454
quantum,"quantum: J=0.45, Gamma=0.2",1.5,0.45,0.2,6,15.47924139257595,0.3252770274539083,15.060926886963856,15.94625070014914
quantum,"quantum: J=0.45, Gamma=0.2",2.0,0.45,0.2,6,13.83978479013377,0.28770615725888643,13.519588753322775,14.295566079629136
quantum,"quantum: J=0.45, Gamma=0.35",0.25,0.45,0.35,6,11.1536719010884,0.5678164665084595,10.573504084185519,12.03199817180251
quantum,"quantum: J=0.45, Gamma=0.35",0.5,0.45,0.35,6,12.895380179785937,0.5444004089816792,12.406533796002206,13.80453642124149
