model,image,image_size,patch_size,epochs,mse,psnr,ssim
Autoencoder,0000_cat_domestic_cat_s_000907.png,32,8,200,0.007020870689302683,21.536090257460486,0.811878487750237
Autoencoder,0001_ship_hydrofoil_s_000078.png,32,8,200,0.012427839450538158,19.056043658286924,0.9274532935080169
Autoencoder,0002_ship_sea_boat_s_001456.png,32,8,200,0.009604820981621742,20.175107252758295,0.9180879595795864
Autoencoder,0003_airplane_jetliner_s_001705.png,32,8,200,0.0075807333923876286,21.202887768402952,0.9056581684573239
Autoencoder,0004_frog_green_frog_s_001658.png,32,8,200,0.006384340114891529,21.948839847390886,0.8460450731366073
