seed,collector_quantum,v3_classical,v3_quantum,spatial_modulator
3,20.28068157644554,20.92166004597276,21.012527405300283,21.911124212825936
7,19.122643270336155,19.87001633352223,19.854014194039273,20.7804167470183
11,19.528536343329904,20.76621764268559,20.79244699109164,23.357815009439005
19,20.115220322493922,21.09928563389707,21.06732414566464,22.407126279933806
29,19.410330892601362,20.242709596008368,20.326691088875435,21.83057432217764
41,19.72675909676201,20.468245164054814,20.503797237572186,21.746720410509944
