model,image,image_size,patch_size,patch_stride,epochs,mse,psnr,ssim
HVK1D,0000_cat_domestic_cat_s_000907.png,32,8,4,200,0.0003771903575398028,34.23439418057673,0.9912848894318905
HVK1D,0001_ship_hydrofoil_s_000078.png,32,8,4,200,0.0012777945958077908,28.93538952966924,0.9931600904606066
HVK1D,0002_ship_sea_boat_s_001456.png,32,8,4,200,0.000721050426363945,31.42034362013156,0.9943604761668969
HVK1D,0003_airplane_jetliner_s_001705.png,32,8,4,200,0.0005100436974316835,32.92392614606986,0.994467189188609
HVK1D,0004_frog_green_frog_s_001658.png,32,8,4,200,0.0003574650618247688,34.46766399172561,0.9922796892409259
