epoch,total_loss,reconstruction_loss,mean_energy,mean_order_parameter,mean_abs_order_parameter,mean_transverse_order_parameter,order_parameter_susceptibility
0,0.028299793601036072,0.028078638017177582,0.022115519270300865,0.003554487368091941,0.046500179916620255,0.011381398886442184,0.0
1,0.02654942311346531,0.026378411799669266,0.017101099714636803,0.0025917368475347757,0.04536599665880203,0.01037400308996439,0.0009627505205571651
2,0.024922212585806847,0.024799838662147522,0.01223743800073862,0.0035405573435127735,0.04548362269997597,0.012005464173853397,0.0009488204959779978
3,0.023196961730718613,0.023120945319533348,0.007601664401590824,0.0058164638467133045,0.04668951407074928,0.012412297539412975,0.002275906503200531
4,0.021552404388785362,0.021519826725125313,0.0032577349338680506,0.005073895677924156,0.04713651165366173,0.013442320749163628,0.0007425681687891483
5,0.020291224122047424,0.020299293100833893,-0.0008069510804489255,0.006609125528484583,0.04862922057509422,0.01123033370822668,0.0015352298505604267
6,0.019507769495248795,0.019554365426301956,-0.004659503232687712,0.00649374071508646,0.04704922065138817,0.012278719805181026,0.00011538481339812279
7,0.01887984201312065,0.01896364986896515,-0.00838083028793335,0.0062411013059318066,0.048226404935121536,0.012584720738232136,0.00025263940915465355
8,0.018077319487929344,0.018197227269411087,-0.011990826576948166,0.0063301087357103825,0.048234499990940094,0.01303174626082182,8.90074297785759e-05
9,0.01726450026035309,0.01741953007876873,-0.015503060072660446,0.008731644600629807,0.04729706048965454,0.012754500843584538,0.002401535864919424
10,0.01668449491262436,0.016873793676495552,-0.018929844722151756,0.00862166378647089,0.04827817529439926,0.012593301013112068,0.00010998081415891647
11,0.016363980248570442,0.016586504876613617,-0.022252485156059265,0.009089993312954903,0.04858061298727989,0.011771981604397297,0.0004683295264840126
12,0.01616699993610382,0.016421135514974594,-0.02541353739798069,0.010123133659362793,0.049819570034742355,0.01173346396535635,0.0010331403464078903
13,0.015928562730550766,0.01621222496032715,-0.028366239741444588,0.010929825715720654,0.049634143710136414,0.012234816327691078,0.0008066920563578606
14,0.015557831153273582,0.01586880534887314,-0.031097382307052612,0.01129338052123785,0.04984450340270996,0.0104812141507864,0.00036355480551719666
15,0.015200179070234299,0.01553681306540966,-0.03366336598992348,0.010607666335999966,0.049800142645835876,0.010370262898504734,0.0006857141852378845
16,0.01486773882061243,0.015229140408337116,-0.03614017739892006,0.011305339634418488,0.04967633634805679,0.011206217110157013,0.0006976732984185219
17,0.01456841453909874,0.014954283833503723,-0.03858696296811104,0.011748348362743855,0.050782326608896255,0.00971926748752594,0.000443008728325367
18,0.014189211651682854,0.014599522575736046,-0.0410311333835125,0.0117905642837286,0.0510253943502903,0.008981701917946339,4.2215920984745026e-05
19,0.01380207296460867,0.014236963354051113,-0.04348907247185707,0.014282858930528164,0.05105536803603172,0.008312529884278774,0.0024922946467995644
20,0.013486732728779316,0.013946345075964928,-0.04596126452088356,0.013351763598620892,0.05205133557319641,0.008953826501965523,0.0009310953319072723
21,0.013205530121922493,0.013689916580915451,-0.048438675701618195,0.015399117954075336,0.051995813846588135,0.008199349045753479,0.002047354355454445
22,0.012940436601638794,0.01344971265643835,-0.050927624106407166,0.015378369018435478,0.052807994186878204,0.007844872772693634,2.0748935639858246e-05
23,0.012667924165725708,0.013202373869717121,-0.053444940596818924,0.01718701794743538,0.05367463827133179,0.006930862553417683,0.0018086489289999008
24,0.012356196530163288,0.012916275300085545,-0.05600786581635475,0.017317011952400208,0.054029323160648346,0.0066534047946333885,0.0001299940049648285
25,0.012048712000250816,0.012634910643100739,-0.05861986055970192,0.018770823255181313,0.05506637319922447,0.005754345562309027,0.001453811302781105
26,0.011767508462071419,0.012380305677652359,-0.061279699206352234,0.018522223457694054,0.055236656218767166,0.007154393941164017,0.0002485997974872589
27,0.01146669965237379,0.012106298469007015,-0.06395986676216125,0.019384296610951424,0.05519614368677139,0.005360945127904415,0.00086207315325737
