image,epoch,step,reconstructed_image,total_loss,reconstruction_mse,mean_energy,mean_order_parameter,order_parameter_susceptibility,mean_abs_order_parameter,mean_transverse_order_parameter,mean_total_lattice_correlation
monalisa.jpg,0,0,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0000.png,0.0809532031416893,0.08109508454799652,-0.02570025622844696,-0.06113281100988388,0.0,0.0658576637506485,0.05103612691164017,-0.11449772119522095
monalisa.jpg,1,1,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0001.png,0.07644113153219223,0.07669813185930252,-0.03641550987958908,-0.07291854172945023,0.011785730719566345,0.07386742532253265,0.05604695528745651,-0.10979638993740082
monalisa.jpg,2,2,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0002.png,0.0686860978603363,0.06905025243759155,-0.04639969766139984,-0.08535782992839813,0.012439288198947906,0.08535782992839813,0.06085098162293434,-0.10554375499486923
monalisa.jpg,3,3,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0003.png,0.056682925671339035,0.05714692175388336,-0.05601400136947632,-0.0951991081237793,0.009841278195381165,0.0951991081237793,0.06523416191339493,-0.10221840441226959
monalisa.jpg,4,4,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0004.png,0.04311361163854599,0.04367375001311302,-0.06548993289470673,-0.10301654040813446,0.007817432284355164,0.10301654040813446,0.06828336417675018,-0.09963138401508331
monalisa.jpg,5,5,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0005.png,0.03587412089109421,0.036529019474983215,-0.07438419759273529,-0.10931524634361267,0.0062987059354782104,0.10931524634361267,0.06974688172340393,-0.09656177461147308
monalisa.jpg,6,6,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0006.png,0.038626521825790405,0.03937036544084549,-0.08140825480222702,-0.11384646594524384,0.0045312196016311646,0.11384646594524384,0.07016880810260773,-0.09243640303611755
monalisa.jpg,7,7,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0007.png,0.039233509451150894,0.04004759341478348,-0.0862748846411705,-0.11746565997600555,0.0036191940307617188,0.11746565997600555,0.06956188380718231,-0.08691857755184174
monalisa.jpg,8,8,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0008.png,0.034404054284095764,0.035266801714897156,-0.0891033336520195,-0.12064844369888306,0.0031827837228775024,0.12064844369888306,0.06831516325473785,-0.08033820241689682
monalisa.jpg,9,9,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0009.png,0.028633521869778633,0.029524555429816246,-0.09047127515077591,-0.1235385462641716,0.0028901025652885437,0.1235385462641716,0.0667971596121788,-0.07361990213394165
monalisa.jpg,10,10,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0010.png,0.02501024678349495,0.025914959609508514,-0.09138454496860504,-0.12598027288913727,0.0024417266249656677,0.12598027288913727,0.0653497502207756,-0.06771989166736603
monalisa.jpg,11,11,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0011.png,0.02388511598110199,0.024798961356282234,-0.09273435175418854,-0.1281866729259491,0.0022064000368118286,0.1281866729259491,0.06421677768230438,-0.0628342553973198
monalisa.jpg,12,12,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0012.png,0.023882117122411728,0.02480946108698845,-0.09489370882511139,-0.13060030341148376,0.002413630485534668,0.13060030341148376,0.06358589231967926,-0.05856623500585556
monalisa.jpg,13,13,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0013.png,0.023528823629021645,0.0244777612388134,-0.09785199910402298,-0.13321943581104279,0.002619132399559021,0.13321943581104279,0.06334085017442703,-0.05471094697713852
monalisa.jpg,14,14,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0014.png,0.022280560806393623,0.023259080946445465,-0.10161943733692169,-0.13584201037883759,0.0026225745677948,0.13584201037883759,0.06350982934236526,-0.05128046125173569
monalisa.jpg,15,15,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0015.png,0.020487284287810326,0.021503478288650513,-0.10609611868858337,-0.1382729560136795,0.002430945634841919,0.1382729560136795,0.06398123502731323,-0.04835481196641922
monalisa.jpg,16,16,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0016.png,0.018627436831593513,0.019688397645950317,-0.11118437349796295,-0.14037714898586273,0.0021041929721832275,0.14037714898586273,0.06465370208024979,-0.04604769125580788
monalisa.jpg,17,17,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0017.png,0.0174503643065691,0.018562208861112595,-0.11666933447122574,-0.1419844925403595,0.0016073435544967651,0.1419844925403595,0.06533795595169067,-0.044488172978162766
monalisa.jpg,18,18,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0018.png,0.01709468849003315,0.01826138235628605,-0.12219268828630447,-0.14321592450141907,0.0012314319610595703,0.14321592450141907,0.06583640724420547,-0.04348139464855194
monalisa.jpg,19,19,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0019.png,0.01718243397772312,0.018404360860586166,-0.12751449644565582,-0.14417387545108795,0.0009579509496688843,0.14417387545108795,0.06608222424983978,-0.04277363419532776
monalisa.jpg,20,20,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0020.png,0.01702914386987686,0.018304288387298584,-0.13253122568130493,-0.1448960155248642,0.0007221400737762451,0.1448960155248642,0.06612016260623932,-0.04227088764309883
monalisa.jpg,21,21,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/outputs/training_analysis/phase_transition_frames/epoch_0021.png,0.01651645079255104,0.01784176379442215,-0.13726842403411865,-0.1455099731683731,0.0006139576435089111,0.1455099731683731,0.06613236665725708,-0.041830532252788544
