image,epoch,step,patch_index,patch_row,patch_col,total_loss,reconstruction_mse,energy,order_parameter,abs_order_parameter,transverse_order_parameter,total_lattice_correlation,corr_ZZ_0_1,corr_ZZ_1_2,corr_ZZ_3_4,corr_ZZ_4_5,corr_ZZ_0_3,corr_ZZ_1_4,corr_ZZ_2_5
monalisa.jpg,0,0,0,0,0,0.0809532031416893,0.08109508454799652,-0.01361765619367361,-0.06737590581178665,0.06737590581178665,-0.03071674518287182,-0.12394033372402191,0.19548305869102478,-0.1474248170852661,-0.3885287940502167,-0.3355025053024292,-0.18142518401145935,0.08743102848529816,-0.09761503338813782
monalisa.jpg,0,0,1,0,0,0.0809532031416893,0.08109508454799652,-0.030937079340219498,-0.05769011378288269,0.05769011378288269,-0.0017268856754526496,-0.1478932946920395,0.2772928774356842,-0.24106641113758087,-0.4080667495727539,-0.3744044303894043,-0.3077009916305542,0.1667281985282898,-0.14803549647331238
monalisa.jpg,0,0,2,0,0,0.0809532031416893,0.08109508454799652,-0.034165382385253906,-0.05203866586089134,0.05203866586089134,0.1045624390244484,-0.1528489887714386,0.30088382959365845,-0.12129104137420654,-0.47448527812957764,-0.6833970546722412,-0.33692628145217896,0.2485719621181488,-0.0032991075422614813
monalisa.jpg,0,0,3,0,0,0.0809532031416893,0.08109508454799652,-0.016359269618988037,-0.06757131218910217,0.06757131218910217,-0.017679443582892418,-0.1274235099554062,0.2338336855173111,-0.1575731635093689,-0.3602745831012726,-0.4276024103164673,-0.2859169840812683,0.09474833309650421,0.010820496827363968
monalisa.jpg,0,0,4,0,0,0.0809532031416893,0.08109508454799652,-0.010912182740867138,-0.050634097307920456,0.050634097307920456,-0.009748418815433979,-0.13806292414665222,0.16400296986103058,-0.18510696291923523,-0.28401094675064087,-0.2777988910675049,-0.2757871150970459,-0.06543448567390442,-0.042305003851652145
monalisa.jpg,0,0,5,0,0,0.0809532031416893,0.08109508454799652,-0.0205535851418972,-0.049566205590963364,0.049566205590963364,0.05611926689743996,-0.16058334708213806,0.2273668795824051,-0.251146525144577,-0.4482352137565613,-0.47304826974868774,-0.3408874571323395,0.191475972533226,-0.029608841985464096
monalisa.jpg,0,0,6,0,0,0.0809532031416893,0.08109508454799652,-0.06838395446538925,-0.08570761233568192,0.08570761233568192,0.09128405898809433,-0.05811826139688492,0.3407590091228485,0.10096243768930435,0.06873323023319244,-0.40455448627471924,-0.35526177287101746,-0.0786195620894432,-0.07884666323661804
monalisa.jpg,0,0,7,0,0,0.0809532031416893,0.08109508454799652,-0.010412412695586681,-0.0019364511827006936,0.0019364511827006936,0.004934003110975027,-0.1547088921070099,0.15312345325946808,-0.23840449750423431,-0.2789447605609894,-0.4218861758708954,-0.3186730742454529,-0.03776032105088234,0.05958303436636925
monalisa.jpg,0,0,8,0,0,0.0809532031416893,0.08109508454799652,-0.03514556214213371,-0.03270246088504791,0.03270246088504791,0.05822266638278961,-0.14593897759914398,0.12120913714170456,-0.011588208377361298,-0.29963773488998413,-0.3242139518260956,-0.3271513283252716,0.006934524513781071,-0.1871252954006195
monalisa.jpg,0,0,9,0,0,0.0809532031416893,0.08109508454799652,0.005323920864611864,-0.17491638660430908,0.17491638660430908,0.12370654940605164,-0.051481883972883224,0.2892718017101288,-0.30928030610084534,-0.2982482612133026,-0.27097490429878235,-0.07228314131498337,0.1996353566646576,0.10150626301765442
