Gamma,temperature,n,mean_psnr_db,std_psnr_db,min_psnr_db,max_psnr_db
0.0,1.0,6,17.763351779074757,0.45322279625519996,17.14168666609505,18.54771463498623
0.0,1.25,6,19.627882404075894,0.4270833625145802,19.11023349172519,20.131927747540537
0.0,1.5,6,19.21267527957217,0.5566843120441928,18.42244769397756,20.15041084277191
0.0,1.75,6,17.66245297060529,0.555168039135783,16.96099962276589,18.61483147607486
0.1,1.0,6,17.79785718286278,0.45323274038560185,17.176727578034683,18.582305262217925
0.1,1.25,6,19.635397156588308,0.4277476817274034,19.112818537615983,20.146050655571834
0.1,1.5,6,19.200327902220668,0.5572945005341311,18.41025864147006,20.139566484888235
0.1,1.75,6,17.650083356977092,0.5546171932057198,16.949913794744887,18.60168973386694
0.2,1.0,6,17.900131991207164,0.45311447490286566,17.280962732137446,18.68436228453225
0.2,1.25,6,19.6559529901259,0.4299449986726605,19.118861222262847,20.1863096294168
0.2,1.5,6,19.162873734302625,0.5590123500799987,18.373442578118755,20.106370407634977
0.2,1.75,6,17.613103223022406,0.5529519300284129,16.916779279162544,18.56236647324981
0.35,1.0,6,18.170900802573154,0.4516810869268856,17.559976731516237,18.95064707744855
0.35,1.25,6,19.69736191699482,0.43747504441534385,19.122643270336155,20.28068157644554
0.35,1.5,6,19.057008224807806,0.5628877344767759,18.270509055720872,20.01036259303978
0.35,1.75,6,17.512431630632346,0.5482856123558555,16.826628419493026,18.455064962526446
