seed,Gamma,temperature,mse,mae,psnr_db
3,0.0,1.0,0.016590093050682663,0.10103701716889867,17.801511780935
3,0.0,1.25,0.00970079272609846,0.07769994178839239,20.131927747540537
3,0.0,1.5,0.009659594948564847,0.07924277741272183,20.15041084277191
3,0.0,1.75,0.013756781911493819,0.09410244992979455,18.61483147607486
3,0.1,1.0,0.016444130801989323,0.10051812538152076,17.839890773577388
3,0.1,1.25,0.009669297763938923,0.07765117240704422,20.146050655571834
3,0.1,1.5,0.009683745151072065,0.07933248055193999,20.139566484888235
3,0.1,1.75,0.01379847295232703,0.09425794726882986,18.60168973386694
3,0.2,1.0,0.01601700898029826,0.09903539793947724,17.95418580925339
3,0.2,1.25,0.009580077823193566,0.07750626538833941,20.1863096294168
3,0.2,1.5,0.00975804820566172,0.07960023927354719,20.106370407634977
3,0.2,1.75,0.013923978777517613,0.0947223022839719,18.56236647324981
3,0.35,1.0,0.014924068026055328,0.09519841459825364,18.261127800497878
3,0.35,1.25,0.009374148786371543,0.07719865034190672,20.28068157644554
3,0.35,1.5,0.009976167691888967,0.08033744172865054,20.01036259303978
3,0.35,1.75,0.014272284812725496,0.09599257355852149,18.455064962526446
7,0.0,1.0,0.016776126364612443,0.1025682916219671,17.753083112475764
7,0.0,1.25,0.012273732415565343,0.08986062616878962,19.11023349172519
7,0.0,1.5,0.014379878964447841,0.0978918340622249,18.42244769397756
7,0.0,1.75,0.020132608009717525,0.11498541416966063,16.96099962276589
7,0.1,1.0,0.01666101569258813,0.10217676137681465,17.782985265642523
7,0.1,1.25,0.012266428910229091,0.08987445488329147,19.112818537615983
7,0.1,1.5,0.014420294697686733,0.09802450642742114,18.41025864147006
7,0.1,1.75,0.020184064276292726,0.11514723426069089,16.949913794744887
7,0.2,1.0,0.016326284864759805,0.10107907001938259,17.871126301008424
7,0.2,1.25,0.012249373519794363,0.089915431684642,19.118861222262847
7,0.2,1.5,0.01454305820194024,0.0984203012511336,18.373442578118755
7,0.2,1.75,0.020338647626048777,0.11563906416821045,16.916779279162544
7,0.35,1.0,0.015485933469140291,0.09823647265351933,18.10062610889827
7,0.35,1.25,0.012238710811635403,0.09004633323665713,19.122643270336155
7,0.35,1.5,0.014891865133597007,0.09952865253050011,18.270509055720872
7,0.35,1.75,0.020765249710841992,0.11701110173672934,16.826628419493026
