model,n_seeds,mean_mse,std_mse,mean_psnr,std_psnr,mean_r2,std_r2,notes
HVK2D-entangling-observables,5,0.04471892764080144,0.004608226276703602,13.518453399117288,0.45196670243678755,-0.2778034469215026,0.10040985081799024,Held-out distribution proxy with pair observables.
raw-linear-classical,5,0.23601022338178992,0.01494756722706231,6.279382980474826,0.274671681992754,-5.7953497024674725,0.8082016618064318,Held-out distribution proxy for linear classical readout.
parameter-matched-classical,5,0.23754745138981756,0.010973054895306693,6.247274768552404,0.20530736889477302,-5.807045083329349,0.40188541843218634,Held-out distribution proxy for small classical control.
no-entanglement,5,0.5774437560761101,0.07111508924542255,2.416819954693814,0.5223513366782242,-15.623887825779539,2.593378213220953,Held-out distribution proxy without pair observables.
