noise_sigma,mean_mse,std_mse,mean_psnr,std_psnr,mean_r2
0.0,0.0008596866293334695,0.0005897923296309419,32.773528595771666,5.515565866435068,0.9735224984535916
0.01,0.0008902304613752314,0.000590300491128462,32.275208699543484,4.8471605087569305,0.9725696126490669
0.02,0.0009781102745122295,0.0005895239698386448,31.297840663724536,3.729415311550098,0.9698275803450862
0.05,0.0015746094226559472,0.0005817751713962027,28.363465035778468,1.7781176939188508,0.9512143646323464
0.1,0.0035309085606866795,0.0005754700667952783,24.581389880338055,0.7328587878859006,0.8901767999635535
0.2,0.009373254258901242,0.0006693691904375107,20.292355013172756,0.3141121876507987,0.707946967940314
0.35,0.01772034480365702,0.0008746791589707852,17.520613371949665,0.21573159762855548,0.4475907625729952
