model,n_seeds,mean_mse,std_mse,mean_psnr,std_psnr,mean_r2,std_r2,notes
HVK2D-entangling-observables,5,0.0008596866293334695,0.0005897923296309419,32.773528595771666,5.515565866435068,0.9735224984535916,0.017616660058509315,Pairwise observable channel contains explicit two-site correlations.
freeze-quantum,5,0.0047903839386710416,0.0034995102336199423,27.33732419879567,8.655148538199997,0.8533014863806629,0.10622831058879476,Frozen pair-correlator basis with random channel scaling and masking.
no-entanglement,5,0.031461436038861715,0.0017023266125394672,15.028596981370992,0.23567724167513351,0.019056047538188837,0.040125166314011945,Only single-site nonlinear channels are available.
raw-linear-classical,5,0.031654284275944404,0.001945704619451168,15.003782091606107,0.2646213724114614,0.013250720161535324,0.04476807324474895,Linear readout from raw coordinates.
parameter-matched-classical,5,0.033033391189931136,0.0016208458379350329,14.815585773997489,0.20971763772055954,-0.029686992970204586,0.024815477381400896,Small rank-limited tanh control with restricted nonlinear budget.
random-vqc,5,0.03761625332934481,0.0017262876329036158,14.25079124291761,0.19843536107967866,-0.17317290633810326,0.04379023807431002,Random latent vectors with no stable input-observable alignment.
freeze-classical,5,0.060972794265486116,0.006172957976976758,12.171557784554002,0.44936959779966557,-0.9025024259597213,0.1949148344575886,Quantum-like features are present but the classical readout is frozen.
