epoch,total_loss,reconstruction_loss,mean_energy,mean_order_parameter,mean_abs_order_parameter,mean_transverse_order_parameter,order_parameter_susceptibility
0,0.05257527530193329,0.05343300849199295,-0.08577347546815872,0.05245930328965187,0.05907328799366951,0.001687325886450708,0.0
1,0.05056171864271164,0.051511481404304504,-0.09497636556625366,0.05351661518216133,0.059688642621040344,0.002599281258881092,0.0010573118925094604
2,0.04847397655248642,0.04951877146959305,-0.10447940975427628,0.05637175589799881,0.06114422529935837,0.0022512932773679495,0.0028551407158374786
3,0.046026840806007385,0.04716885834932327,-0.11420184373855591,0.06040136143565178,0.0647268295288086,0.002170134801417589,0.004029605537652969
4,0.04312000051140785,0.044360920786857605,-0.12409190833568573,0.06282602250576019,0.06680998206138611,0.0013939981581643224,0.0024246610701084137
5,0.03984188288450241,0.041182659566402435,-0.13407780230045319,0.06552517414093018,0.06981223821640015,0.0009465322364121675,0.002699151635169983
6,0.036151040345430374,0.03759090602397919,-0.14398671686649323,0.06883232295513153,0.07250865548849106,-2.0686651623691432e-05,0.003307148814201355
7,0.03226323798298836,0.03379986062645912,-0.15366238355636597,0.07145477831363678,0.07531922310590744,0.000756628520321101,0.002622455358505249
8,0.028278391808271408,0.029908690601587296,-0.16302989423274994,0.07345085591077805,0.07712200284004211,0.0013189628953114152,0.001996077597141266
9,0.024740006774663925,0.026460982859134674,-0.17209766805171967,0.07596530020236969,0.07996165007352829,-0.00043593591544777155,0.0025144442915916443
10,0.02232782542705536,0.02413649670779705,-0.18086719512939453,0.07941931486129761,0.08343261480331421,-0.0008640590240247548,0.0034540146589279175
11,0.02110941894352436,0.023002997040748596,-0.18935786187648773,0.08055514097213745,0.08521080017089844,-0.0006050397641956806,0.0011358261108398438
12,0.020626921206712723,0.022601986303925514,-0.1975065916776657,0.08151423931121826,0.08601757884025574,0.0002395510528003797,0.0009590983390808105
13,0.01974165253341198,0.021794183179736137,-0.20525304973125458,0.08263420313596725,0.08664296567440033,-0.0005667217192240059,0.001119963824748993
14,0.018159186467528343,0.02028508670628071,-0.2125900834798813,0.08301324397325516,0.08727216720581055,0.00017445310368202627,0.00037904083728790283
15,0.016222037374973297,0.018418345600366592,-0.21963079273700714,0.08287879079580307,0.08692130446434021,0.0016184551641345024,0.0001344531774520874
16,0.014433290809392929,0.016698839142918587,-0.22655488550662994,0.08160761743783951,0.08590430021286011,0.0008921180269680917,0.001271173357963562
17,0.013055885210633278,0.015391404740512371,-0.23355187475681305,0.08114554733037949,0.08524465560913086,0.0015041081933304667,0.00046207010746002197
18,0.012141750194132328,0.014549167826771736,-0.2407417744398117,0.08167225867509842,0.08602084964513779,-0.0003639370552264154,0.0005267113447189331
