model,best_boundary_f_score,best_dice,best_iou,best_mse,best_pixel_accuracy,best_psnr,best_ssim,mean_boundary_f_score,mean_dice,mean_iou,mean_mse,mean_pixel_accuracy,mean_psnr,mean_ssim,num_images,std_boundary_f_score,std_dice,std_iou,std_mse,std_pixel_accuracy,std_psnr,std_ssim
Autoencoder,,,,0.006384340114891529,,21.948839847390886,0.927453222037127,,,,0.008602102287113667,,20.78479617284414,0.8818802022040411,5,,,,0.002196790719408699,,1.0451910500554487,0.04494182403279539
CNN,,,,3.332535925437696e-05,,44.772251601030746,0.9992811855576201,,,,0.00011647522769635543,,40.60559047141799,0.9988912124414864,5,,,,7.836464442277237e-05,,3.514035440549804,0.0005273376327280058
GAN,,,,0.0014852603198960423,,28.28197421372865,0.9766545176415496,,,,0.0026447879849001766,,26.02951353833462,0.9688492892669259,5,,,,0.0009142074941798244,,1.4845623713452532,0.011534857824767548
HVK1D,,,,0.0003438073326833546,,34.636848649672956,0.994481949413859,,,,0.0006463884434197098,,32.41942048056406,0.9931356265085902,5,,,,0.0003412295575870116,,2.059819711365323,0.0012616172030210427
HVK2D,,,,0.00013236583617981523,,38.782240924882274,0.9974314170188961,,,,0.00046654915786348283,,34.50149606065751,0.9957753067419125,5,,,,0.000323437584254926,,3.3432594768494717,0.0010023563544458685
MLP,,,,7.270207873222301e-12,,111.38453171410188,0.9999999999188475,,,,7.086507198874811e-07,,75.13564798523696,0.9999935863887826,5,,,,9.450789486864054e-07,,19.972016707722855,7.17659964318171e-06
PHL,0.9900990048029605,0.9983221476426316,0.9966499162312119,0.022252945229411125,0.9980468749902536,16.52612500987242,0.9184171103737422,0.7929066192435277,0.9510019137142238,0.9154659590201379,0.043415408581495285,0.9757812499904709,14.013234289611939,0.7879240138204963,5,0.1536569263860652,0.074994988350648,0.12430963007483052,0.018411894104322504,0.023391882689740125,1.8441499803488859,0.11246769093379916
SymmetricHVK1D,,,,0.00024391256738454103,,36.12765822461392,0.9948698143050677,,,,0.0006473914952948689,,32.81405525495507,0.9938227481874945,5,,,,0.0004455428457123806,,2.7687496426899303,0.001063922829054314
