old_variant_name,ablation_mode,n_seeds,mean_psnr_db,std_psnr_db,mean_ssim,std_ssim,note
baseline,baseline,4,33.41691451521113,0.02287833015476089,0.9938451858657179,2.9835273050325776e-05,
freeze-quantum,freeze-quantum,3,33.39109739960144,0.0561123885667342,0.9938092676935613,6.468043828670754e-05,
freeze-classical,freeze-classical,3,10.937545676298543,0.0024086447172972847,0.021906483222342357,7.841567003352371e-05,
no-entanglement,no-entanglement,3,33.47576204018129,0.023169881578139834,0.9939233465159943,3.2167379039154697e-05,
no-MPS,no-mps,3,33.34122975613972,0.054401947926412536,0.9937352404906203,8.00287726314151e-05,
no-energy,no-energy-loss,3,33.44044709170234,0.012219291033530007,0.9938745904476182,1.165236358171962e-05,
classical-replacement,classical-replacement,3,33.49839962415305,0.012854800484032073,0.9939534517245616,1.7393252393893153e-05,
classical-matched,classical-matched,3,33.219512102143575,0.1909346072437561,0.99355971036772,0.0002698393976397596,
random-VQC,random-vqc,3,28.092934043199325,0.2327805622748409,0.9790678114625028,0.001350504771249138,
