image,epoch,step,reconstructed_image,total_loss,reconstruction_mse,mean_energy,mean_order_parameter,order_parameter_susceptibility
monalisa.jpg,25,25,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0025.png,0.013219505548477173,0.01716327667236328,-0.39437708258628845,-0.13289153575897217,0.0025310665369033813
monalisa.jpg,26,26,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0026.png,0.012835707515478134,0.016955818980932236,-0.41201117634773254,-0.1336905062198639,0.0007989704608917236
monalisa.jpg,27,27,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0027.png,0.012118316255509853,0.01641957461833954,-0.4301258623600006,-0.13205021619796753,0.0016402900218963623
monalisa.jpg,28,28,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0028.png,0.011395236477255821,0.015879079699516296,-0.4483843445777893,-0.13330070674419403,0.0012504905462265015
monalisa.jpg,29,29,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0029.png,0.010864571668207645,0.015529738739132881,-0.4665167033672333,-0.13258729875087738,0.0007134079933166504
monalisa.jpg,30,30,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0030.png,0.010518141090869904,0.015363898128271103,-0.48457565903663635,-0.1325071007013321,8.019804954528809e-05
monalisa.jpg,31,31,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0031.png,0.010177787393331528,0.015206330455839634,-0.5028542876243591,-0.1293964684009552,0.003110632300376892
monalisa.jpg,32,32,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0032.png,0.009810961782932281,0.015026528388261795,-0.5215566158294678,-0.13011756539344788,0.0007210969924926758
monalisa.jpg,33,33,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0033.png,0.00921458937227726,0.01462073065340519,-0.5406141877174377,-0.13094186782836914,0.0008243024349212646
monalisa.jpg,34,34,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0034.png,0.008701970800757408,0.014301114715635777,-0.5599143505096436,-0.12934979796409607,0.0015920698642730713
monalisa.jpg,35,35,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0035.png,0.008261226117610931,0.014056907966732979,-0.5795682668685913,-0.12958097457885742,0.00023117661476135254
monalisa.jpg,36,36,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0036.png,0.007918933406472206,0.01391675230115652,-0.59978187084198,-0.13019686937332153,0.0006158947944641113
monalisa.jpg,37,37,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0037.png,0.0074653769843280315,0.013673212379217148,-0.6207835674285889,-0.13249816000461578,0.0023012906312942505
monalisa.jpg,38,38,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0038.png,0.0069565544836223125,0.013381710276007652,-0.6425155997276306,-0.13035665452480316,0.002141505479812622
monalisa.jpg,39,39,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0039.png,0.006319466046988964,0.012965613976120949,-0.6646147966384888,-0.13005733489990234,0.00029931962490081787
monalisa.jpg,40,40,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0040.png,0.005755923688411713,0.012621849775314331,-0.6865926384925842,-0.12992079555988312,0.00013653934001922607
monalisa.jpg,41,41,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0041.png,0.0052683367393910885,0.012350063771009445,-0.7081727385520935,-0.12908197939395905,0.0008388161659240723
monalisa.jpg,42,42,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0042.png,0.0047820392064750195,0.012075765058398247,-0.7293726205825806,-0.12797169387340546,0.0011102855205535889
monalisa.jpg,43,43,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0043.png,0.004220695700496435,0.011724825017154217,-0.7504129409790039,-0.12572014331817627,0.002251550555229187
monalisa.jpg,44,44,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0044.png,0.003677607048302889,0.011395830661058426,-0.7718223929405212,-0.12283238768577576,0.0028877556324005127
monalisa.jpg,45,45,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0045.png,0.0032106274738907814,0.011149931699037552,-0.7939304113388062,-0.12173465639352798,0.0010977312922477722
