image,epoch,step,patch_index,patch_row,patch_col,total_loss,reconstruction_mse,energy,order_parameter,abs_order_parameter,transverse_order_parameter,total_lattice_correlation,corr_ZZ_0_1,corr_ZZ_1_2,corr_ZZ_3_4,corr_ZZ_4_5,corr_ZZ_0_3,corr_ZZ_1_4,corr_ZZ_2_5,corr_XX_0_1,corr_XX_1_2,corr_XX_3_4,corr_XX_4_5,corr_XX_0_3,corr_XX_1_4,corr_XX_2_5,corr_YY_0_1,corr_YY_1_2,corr_YY_3_4,corr_YY_4_5,corr_YY_0_3,corr_YY_1_4,corr_YY_2_5
monalisa.jpg,0,0,0,0,0,0.08130548894405365,0.08109694719314575,-0.01038350723683834,-0.04505777359008789,0.04505777359008789,0.09154506772756577,0.08796938508749008,0.10849598795175552,0.03671679273247719,-0.10410609096288681,0.19217970967292786,-0.2529509961605072,-0.05661586672067642,0.07127274572849274,-0.05930893123149872,-0.09529480338096619,-0.1345789134502411,0.13100112974643707,0.07598531246185303,0.1212649792432785,-0.05878736823797226,-0.14011269807815552,0.33466997742652893,0.14018040895462036,-0.13572479784488678,0.15775161981582642,0.32646945118904114,-0.04272190481424332
monalisa.jpg,0,0,1,0,64,0.08130548894405365,0.08109694719314575,-0.09928944706916809,-0.09164553135633469,0.09164553135633469,0.11033713072538376,0.11485189944505692,0.10235865414142609,0.1447514444589615,-0.10606750845909119,0.1298295259475708,-0.0647013932466507,-0.10383113473653793,-0.26203101873397827,0.030418362468481064,0.063734270632267,-0.05288916081190109,0.21169929206371307,-0.05462934076786041,0.10718783736228943,-0.08081715553998947,0.13116024434566498,0.17488785088062286,0.06735336035490036,-0.13889501988887787,0.1305115967988968,0.2778092324733734,0.09612330049276352
monalisa.jpg,0,0,2,0,128,0.08130548894405365,0.08109694719314575,0.06980138272047043,0.011178316548466682,0.011178316548466682,0.06413882225751877,-0.09359090775251389,0.0035791820846498013,-0.05939337611198425,-0.09623917192220688,0.03137926012277603,0.01984458416700363,-0.06403031200170517,-0.0013534803874790668,0.06321965903043747,-0.02414780855178833,-0.11157288402318954,0.05141335353255272,-0.058181777596473694,-0.06548816710710526,0.10284581035375595,-0.10115355253219604,0.11020911484956741,-0.002018446335569024,-0.06286022812128067,-0.0743105411529541,-0.25217247009277344,-0.06470508873462677
monalisa.jpg,0,0,3,0,192,0.08130548894405365,0.08109694719314575,0.01013458427041769,0.06537837535142899,0.06537837535142899,0.03801742196083069,0.04754916578531265,0.035541944205760956,0.051143940538167953,-0.06466977298259735,0.07540228962898254,0.2040209174156189,0.0033226837404072285,0.11128513514995575,0.058885395526885986,0.031448014080524445,0.010731849819421768,-0.043095603585243225,-0.09551673382520676,0.10175391286611557,0.07771214097738266,-0.10946890711784363,0.07088840752840042,0.05259208381175995,-0.008336836472153664,-0.11856803297996521,-0.16374020278453827,0.05151156336069107
monalisa.jpg,0,0,4,64,0,0.08130548894405365,0.08109694719314575,0.03964001312851906,0.06245247274637222,0.06245247274637222,0.11676672101020813,0.21163679659366608,0.27324342727661133,0.1502113938331604,0.010781772434711456,0.49120479822158813,-0.25315234065055847,-0.1026059091091156,0.21558091044425964,0.04495775327086449,-0.14121665060520172,-0.3209788501262665,0.14861448109149933,0.22653624415397644,-0.22076809406280518,0.14957010746002197,0.04158536344766617,0.512860894203186,0.09528549015522003,-0.07098591327667236,0.20929405093193054,0.1257621794939041,-0.1043236181139946
monalisa.jpg,0,0,5,64,64,0.08130548894405365,0.08109694719314575,-0.00939616747200489,-0.05659472569823265,0.05659472569823265,0.08291216194629669,0.044044993817806244,0.09662696719169617,0.035945016890764236,-0.11070773005485535,0.14149582386016846,-0.27648913860321045,-0.1018529012799263,0.05364491045475006,-0.08831767737865448,-0.10009743273258209,-0.13882990181446075,0.13240694999694824,0.051482487469911575,0.10083620995283127,-0.059225894510746,-0.1158357560634613,0.2825284004211426,0.1474646031856537,-0.13946329057216644,0.16409723460674286,0.2887653708457947,-0.05615932494401932
monalisa.jpg,0,0,6,64,128,0.08130548894405365,0.08109694719314575,-0.0027787794824689627,0.05138052999973297,0.05138052999973297,0.074395552277565,0.1205904632806778,0.21338844299316406,0.22120076417922974,-0.05337255075573921,0.4438024163246155,-0.2549949586391449,-0.14565038681030273,0.09677983820438385,0.05330544337630272,-0.12926240265369415,-0.30920329689979553,0.26439476013183594,0.1828344166278839,-0.22727835178375244,-0.00424047838896513,0.005347422324120998,0.39600294828414917,0.04142386466264725,-0.10872171819210052,0.21927699446678162,0.04224412888288498,-0.10314402729272842
monalisa.jpg,0,0,7,64,192,0.08130548894405365,0.08109694719314575,-0.06797464936971664,0.10617054253816605,0.10617054253816605,0.0562172494828701,0.22536809742450714,0.08017590641975403,0.21030138432979584,-0.03590169921517372,0.10825345665216446,0.264712929725647,0.1592695266008377,0.2345099002122879,0.09038294106721878,0.05010128766298294,0.07649065554141998,-0.034907903522253036,-0.07495969533920288,0.2084553986787796,-0.028815727680921555,-0.11904841661453247,0.10237311571836472,0.08788402378559113,0.08324049413204193,-0.03635783866047859,-0.0038024045061320066,0.15521936118602753
monalisa.jpg,0,0,8,128,0,0.08130548894405365,0.08109694719314575,0.02885366976261139,-0.004759376868605614,0.004759376868605614,0.0568438321352005,-0.007846006192266941,0.08317677676677704,-0.15278679132461548,-0.08566217869520187,0.0756385549902916,-0.02915870025753975,-0.05712340772151947,0.12539798021316528,0.001463663880713284,0.0050525967963039875,-0.19933845102787018,-0.08834531903266907,0.046032536774873734,-0.22270645201206207,0.16936886310577393,0.00736578181385994,0.22669456899166107,0.00034030620008707047,-0.07061321288347244,0.3032413423061371,-0.12112630903720856,-0.07183421403169632
monalisa.jpg,0,0,9,128,64,0.08130548894405365,0.08109694719314575,0.03594597429037094,-0.01451670192182064,0.01451670192182064,0.03586160019040108,-0.029154786840081215,0.06276141852140427,-0.09648078680038452,-0.11227022111415863,0.07679073512554169,-0.046991605311632156,-0.10768549889326096,0.0881035327911377,0.05650556832551956,-0.004037440754473209,-0.21112197637557983,0.0004093172028660774,0.049419742077589035,-0.23438729345798492,0.13486777245998383,-0.029743310064077377,0.24365098774433136,0.01026733685284853,-0.07257664948701859,0.2554451823234558,-0.17460821568965912,-0.09240208566188812
