epoch,loss,unary,pairwise,dice,iou,pixel_accuracy,precision,recall
0,0.41595572233200073,0.3747727870941162,0.1647316813468933,0.5880281690037319,0.4164588528574449,0.771484374992466,0.9999999999401197,0.4164588528574449
40,0.28074854612350464,0.25605928897857666,0.09875708818435669,0.9263721552754167,0.8628428927465625,0.946289062490759,0.9999999999710982,0.8628428927465625
80,0.24390389025211334,0.23148387670516968,0.049680061638355255,0.9584415584291112,0.9201995012239351,0.9687499999905397,0.9999999999728997,0.9201995012239351
120,0.2199154496192932,0.21271756291389465,0.028791557997465134,0.9584415584291112,0.9201995012239351,0.9687499999905397,0.9999999999728997,0.9201995012239351
160,0.2023092359304428,0.19756701588630676,0.018968893215060234,0.9691516709386998,0.9401496259117169,0.9765624999904634,0.9999999999734748,0.9401496259117169
200,0.1884707510471344,0.1850709766149521,0.013599097728729248,0.9757343550322384,0.9526184538415806,0.9814453124904157,0.9999999999738219,0.9526184538415806
