model,best_boundary_f_score,best_dice,best_iou,best_mse,best_pixel_accuracy,best_psnr,best_ssim,mean_boundary_f_score,mean_dice,mean_iou,mean_mse,mean_pixel_accuracy,mean_psnr,mean_ssim,num_images,std_boundary_f_score,std_dice,std_iou,std_mse,std_pixel_accuracy,std_psnr,std_ssim
Autoencoder,,,,0.012928606942296028,,18.88448267839395,0.7604920093988504,,,,0.012928606942296028,,18.88448267839395,0.7604920093988504,1,,,,0.0,,0.0,0.0
CNN,,,,4.778931906912476e-05,,43.206691575233265,0.999299572905042,,,,4.778931906912476e-05,,43.206691575233265,0.999299572905042,1,,,,0.0,,0.0,0.0
GAN,,,,0.002012924524024129,,26.961725089734223,0.9692349204369769,,,,0.002012924524024129,,26.961725089734223,0.9692349204369769,1,,,,0.0,,0.0,0.0
HVK1D,,,,0.0007966839475557208,,30.987139333781826,0.9879494182058682,,,,0.0007966839475557208,,30.987139333781826,0.9879494182058682,1,,,,0.0,,0.0,0.0
HVK2D,,,,0.0005197281716391444,,32.84223741795901,0.9922147960393222,,,,0.0005197281716391444,,32.84223741795901,0.9922147960393222,1,,,,0.0,,0.0,0.0
MLP,,,,8.096552051028993e-08,,70.91699887789127,0.9999988126805458,,,,8.096552051028993e-08,,70.91699887789127,0.9999988126805458,1,,,,0.0,,0.0,0.0
PHL,0.883561638775333,0.9757343550322384,0.9526184538415806,0.043749913573265076,0.9814453124904157,13.590228005774653,0.7591947170955091,0.883561638775333,0.9757343550322384,0.9526184538415806,0.043749913573265076,0.9814453124904157,13.590228005774653,0.7591947170955091,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SymmetricHVK1D,,,,0.0012058897409588099,,29.186923995609174,0.9813717672423351,,,,0.0012058897409588099,,29.186923995609174,0.9813717672423351,1,,,,0.0,,0.0,0.0
