model,image,image_size,patch_size,epochs,boundary_f_score,dice,iou,mse,patch_stride,pixel_accuracy,precision,psnr,recall,ssim
HVK1D,monalisa.png,32,8,200,,,,0.0007966839475557208,4,,,30.987139333781826,,0.9879494182058682
HVK2D,monalisa.png,32,8,200,,,,0.0005197281716391444,4,,,32.84223741795901,,0.9922147960393222
SymmetricHVK1D,monalisa.png,32,8,200,,,,0.0012058897409588099,4,,,29.186923995609174,,0.9813717672423351
GAN,monalisa.png,32,8,200,,,,0.002012924524024129,,,,26.961725089734223,,0.9692349204369769
PHL,monalisa.png,32,0,200,0.883561638775333,0.9757343550322384,0.9526184538415806,0.043749913573265076,,0.9814453124904157,0.9999999999738219,13.590228005774653,0.9526184538415806,0.7591947170955091
MLP,monalisa.png,32,32,200,,,,8.096552051028993e-08,,,,70.91699887789127,,0.9999988126805458
CNN,monalisa.png,32,32,200,,,,4.778931906912476e-05,,,,43.206691575233265,,0.999299572905042
Autoencoder,monalisa.png,32,8,200,,,,0.012928606942296028,,,,18.88448267839395,,0.7604920093988504
